keys,vi,en,es,pt
GAME_TITLE,"🦒 CỔ HƯƠU CAO SU 3D","🦒 LONG NECK RUSH 3D","🦒 RUSH DE CUELLO LARGO 3D","🦒 CORRIDA DO PESCOÇO 3D"
GAME_SUBTITLE,"Vươn Cổ Húp Táo • Sải Bước Vượt Gai","Stretch For Fruit • Stride Over Traps","Estírate Por Fruta • Supera Trampas","Estique Por Frutas • Supere Armadilhas"
PLAY_BTN,"▶️ BẮT ĐẦU CHẠY","▶️ PLAY NOW","▶️ JUGAR AHORA","▶️ JOGAR AGORA"
SHOP_BTN,"🛍️ CỬA HÀNG SKIN","🛍️ SKIN SHOP","🛍️ TIENDA DE SKINS","🛍️ LOJA DE SKINS"
SOUND_ON,"🔊 ÂM THANH: BẬT","🔊 SOUND: ON","🔊 SONIDO: SÍ","🔊 SOM: LIGADO"
SOUND_OFF,"🔇 ÂM THANH: TẮT","🔇 SOUND: OFF","🔇 SONIDO: NO","🔇 SOM: DESLIGADO"
LANG_BTN,"🇻🇳 TIẾNG VIỆT","🇬🇧 ENGLISH","🇪🇸 ESPAÑOL","🇧🇷 PORTUGUÊS"
HIGH_SCORE,"🏆 KỶ LỤC: %d","🏆 HIGH SCORE: %d","🏆 RÉCORD: %d","🏆 RECORDE: %d"
TOTAL_COINS,"💰 VÀNG: %d","💰 COINS: %d","💰 MONEDAS: %d","💰 MOEDAS: %d"
SCORE_LABEL,"🍎 ĐIỂM: %d","🍎 SCORE: %d","🍎 PUNTOS: %d","🍎 PONTOS: %d"
LEVEL_LABEL,"MÀN %d","LEVEL %d","NIVEL %d","NÍVEL %d"
NECK_LABEL,"📏 CỔ: %.1fm / %.1fm","📏 NECK: %.1fm / %.1fm","📏 CUELLO: %.1fm / %.1fm","📏 PESCOÇO: %.1fm / %.1fm"
HINT_STRETCH,"👆 GIỮ CHUỘT / SPACE: VƯƠN CỔ • THẢ RA: THỤT ĐẦU 👇","👆 HOLD: STRETCH UP • RELEASE: DUCK DOWN 👇","👆 MANTÉN: ESTIRAR • SUELTA: AGACHARSE 👇","👆 SEGURE: ESTICAR • SOLTE: ABAIXAR 👇"
WIN_TITLE,"🎉 CHIẾN THẮNG XUẤT SẮC! 🎉","🎉 VICTORY! REACHED THE TOP! 🎉","🎉 ¡VICTORIA! ¡LLEGASTE A LA CIMA! 🎉","🎉 VITÓRIA! CHEGOU AO TOPO! 🎉"
WIN_SUB,"TỔNG ĐIỂM: %d (+%d VÀNG)\nCỔ VƯƠN CAO: %.1fm","TOTAL SCORE: %d (+%d COINS)\nHEIGHT REACHED: %.1fm","PUNTOS TOTALES: %d (+%d MONEDAS)\nALTURA: %.1fm","PONTOS TOTAIS: %d (+%d MOEDAS)\nALTURA: %.1fm"
NEW_RECORD,"🎉 KỶ LỤC MỚI ĐƯỢC XÁC LẬP! 🎉","🎉 NEW RECORD ACHIEVED! 🎉","🎉 ¡NUEVO RÉCORD ALCANZADO! 🎉","🎉 NOVO RECORDE ALCANÇADO! 🎉"
NEXT_BTN,"CHƠI TIẾP (MÀN TIẾP) ➔","NEXT LEVEL ➔","SIGUIENTE NIVEL ➔","PRÓXIMO NÍVEL ➔"
FAIL_TITLE,"😭 THẤT BẠI! 😭","😭 FAILED! 😭","😭 ¡FALLASTE! 😭","😭 FALHOU! 😭"
BONK_FAIL,"💥 ĐẬP ĐẦU VÀO XÀ NGANG! HÃY THẢ TAY ĐỂ THỤT CỔ!","💥 BONK! YOU HIT THE OVERHEAD BEAM! DUCK DOWN!","💥 ¡BONK! ¡GOLPEASTE LA VIGA! ¡AGÁCHATE!","💥 BONK! VOCÊ BATEU NA VIGA! ABAIXE-SE!"
SPIKE_FAIL,"🩸 BỊ CHÔNG ĐÂM VÀO MÔNG! HÃY GIỮ TAY VƯƠN CỔ BƯỚC QUA!","🩸 OUCH! SPIKED FROM BELOW! HOLD TO STRETCH UP!","🩸 ¡AY! ¡PINCHADO! ¡MANTÉN PARA ESTIRARTE!","🩸 AI! ESPIQUEADO! SEGURE PARA ESTICAR!"
ROCK_FAIL,"🛑 ĐÂM VÀO TẢNG ĐÁ! HÃY LÁI LƯỢN NÉ TRÁNH!","🛑 CRASHED INTO A BOULDER! SWERVE TO AVOID!","🛑 ¡CHOCASTE CON UNA ROCA! ¡ESQUIVA!","🛑 BATEU NA ROCHA! DESVIE!"
