keys,en,vi
TITLE,"NEON WRONG WAY 3D","NEON WRONG WAY 3D"
STATUS_ONLINE,"● v1.0.0 | P2P ONLINE","● v1.0.0 | CHƠI MẠNG P2P"
HEADER_ROOM,"NETWORK ROOM","PHÒNG CHƠI MẠNG"
BTN_HOST_ONLINE,"Host Online Game","Tạo Phòng Online"
BTN_HOST_BOTS,"Host Solo (vs 3 Bots)","Chơi Đơn (vs 3 Bots)"
BTN_JOIN,"Join Game","Vào Phòng"
HEADER_PILOT,"CUTE BLOB PILOT","NHÂN VẬT CUTE BLOB"
LABEL_COLOR,"SELECT NEON COLOR:","CHỌN MÀU NEON:"
HEADER_MODES,"5 GAME MODES","5 CHẾ ĐỘ CHƠI"
LABEL_MAPS,"🗺️ 8 Cyber Neon 3D Maps","🗺️ 8 Bản Đồ Cyber 3D"
BTN_SOUND_ON,"🔊 SOUND: ON","🔊 ÂM THANH: BẬT"
BTN_SOUND_OFF,"🔇 SOUND: OFF","🔇 ÂM THANH: TẮT"
SHUFFLE_ALERT,"SHUFFLED!","XÁO PHÍM!"
